Student_id,Physics,Math,Chemistry,Biology
1,100,37,10,100
2,31,53,97,66
3,84,42,15,27
4,99,49,1,33
5,34,16,5,24
6,79,52,95,70
7,77,22,41,58
8,62,74,67,63
9,80,76,55,30
10,51,40,39,50
11,3,94,24,65
12,75,25,52,6
13,19,69,63,22
14,25,27,62,37
15,95,89,38,63
16,33,48,60,25
17,23,82,48,23
18,11,2,47,53
19,59,96,44,97
20,77,18,83,79
21,66,84,53,80
22,100,41,73,69
23,31,14,25,52
24,83,42,68,52
25,25,27,32,57
26,68,25,56,19
27,58,56,97,40
28,12,70,46,99
29,18,25,79,64
30,14,63,32,93
31,77,94,20,69
32,88,13,70,51
33,53,84,88,9
34,63,30,29,33
35,7,86,94,14
36,74,79,85,26
37,13,33,41,39
38,19,17,60,40
39,95,35,36,60
40,82,74,15,78
41,57,34,40,23
42,96,12,97,16
43,75,46,58,25
44,64,94,60,94
45,17,89,59,66
46,19,95,86,56
47,19,31,89,53
48,8,86,1,78
49,66,15,38,14
50,20,18,22,34
51,20,77,25,100
52,74,7,58,92
53,1,86,31,70
54,39,75,30,72
55,20,18,67,46
56,64,78,19,16
57,82,59,26,57
58,89,49,49,78
59,93,22,57,100
60,89,70,29,14
