Student_id,Physics,Math,Chemistry,Biology
1,65,95,5,98
2,72,90,61,53
3,12,53,62,97
4,1,68,49,89
5,58,94,24,80
6,27,90,15,2
7,52,5,51,10
8,27,41,64,69
9,38,34,68,56
10,85,3,80,59
11,93,11,50,55
12,35,20,96,30
13,55,10,26,74
14,43,89,20,78
15,49,81,66,45
16,37,78,97,28
17,91,14,77,44
18,83,98,39,85
19,61,64,50,96
20,93,21,53,34
21,39,53,99,8
22,48,23,67,87
23,7,57,35,97
24,24,45,12,87
25,79,81,54,60
26,7,30,89,29
27,11,49,73,75
28,41,16,75,85
29,10,77,70,98
30,20,83,51,52
31,66,36,32,54
32,99,57,56,57
33,19,96,63,22
34,13,25,89,17
35,95,22,14,78
36,68,63,99,23
37,7,64,81,90
38,18,88,34,74
39,23,43,99,100
40,84,34,35,9
41,73,27,14,63
42,22,66,51,20
43,44,80,62,97
44,53,84,87,73
45,84,62,11,25
46,73,64,4,77
47,51,24,43,60
48,25,12,30,18
49,86,62,39,90
50,10,59,40,65
51,72,49,58,24
52,13,77,61,38
53,13,55,84,45
54,43,41,1,62
55,51,51,70,17
56,91,90,98,59
57,18,84,93,3
58,90,66,22,36
59,37,63,89,15
60,7,26,47,14
